Primary_Complaint,Contract_Preference,Monthly_Charge_Band,Internet_Type_Need,Family_Size_Need,Recommended_Plan,Recommended_Price,Plan_Description
Slow Speed,Month-to-Month,Medium,DSL,Single,Speed Boost Fiber,52.0,Upgrades DSL to fiber-equivalent speed at a modest price step-up.
Slow Speed,Month-to-Month,Medium,DSL,Small Family,Speed Boost Fiber,52.0,Upgrades DSL to fiber-equivalent speed at a modest price step-up.
Slow Speed,One Year,High,Cable,Small Family,High-Speed Cable Pro,68.0,Higher-tier cable bandwidth for multi-device households.
Slow Speed,One Year,High,Cable,Large Family,High-Speed Cable Pro,68.0,Higher-tier cable bandwidth for multi-device households.
Data Limits,Month-to-Month,Medium,Fiber Optic,Small Family,Unlimited Data Fiber,60.0,"Removes data caps entirely, ideal for streaming-heavy households."
Data Limits,One Year,Medium,Fiber Optic,Small Family,Unlimited Data Fiber,60.0,"Removes data caps entirely, ideal for streaming-heavy households."
Data Limits,Two Year,High,Fiber Optic,Large Family,Unlimited Family Max,90.0,Unlimited data + multi-line support for large households.
Data Limits,Two Year,High,Fiber Optic,Small Family,Unlimited Family Max,90.0,Unlimited data + multi-line support for large households.
Streaming Needs,Month-to-Month,Medium,Fiber Optic,Small Family,Streaming Entertainment Pack,58.0,Bundles TV + Movies + Music streaming add-ons at a discount.
Streaming Needs,One Year,Medium,Fiber Optic,Small Family,Streaming Entertainment Pack,58.0,Bundles TV + Movies + Music streaming add-ons at a discount.
Streaming Needs,One Year,High,Fiber Optic,Large Family,Ultimate Entertainment Bundle,88.0,Full streaming suite + Unlimited Data for families.
Streaming Needs,Two Year,High,Fiber Optic,Large Family,Ultimate Entertainment Bundle,88.0,Full streaming suite + Unlimited Data for families.
Security Concerns,Month-to-Month,Medium,Fiber Optic,Single,SecureNet Plan,46.0,Adds Online Security + Device Protection as core inclusions.
Security Concerns,One Year,Medium,Fiber Optic,Single,SecureNet Plan,46.0,Adds Online Security + Device Protection as core inclusions.
Security Concerns,One Year,High,Fiber Optic,Small Family,SecureNet Family,66.0,Household-wide online security & backup coverage.
Security Concerns,Two Year,High,Fiber Optic,Small Family,SecureNet Family,66.0,Household-wide online security & backup coverage.
Long Distance Charges,Month-to-Month,Medium,Cable,Small Family,Global Talk Saver,42.0,"Flat-rate long-distance bundle, no per-minute overage charges."
Long Distance Charges,One Year,Medium,Cable,Small Family,Global Talk Saver,42.0,"Flat-rate long-distance bundle, no per-minute overage charges."
Extra Data Charges,Month-to-Month,Low,DSL,Single,Budget Unlimited Data,33.0,Low-cost plan with unlimited data to avoid extra usage fees.
Extra Data Charges,Month-to-Month,Low,DSL,Small Family,Budget Unlimited Data,33.0,Low-cost plan with unlimited data to avoid extra usage fees.
Support Quality,One Year,Medium,Fiber Optic,Single,Premium Support Fiber,54.0,24/7 premium technical support bundled with standard fiber speed.
Support Quality,Two Year,Medium,Fiber Optic,Single,Premium Support Fiber,54.0,24/7 premium technical support bundled with standard fiber speed.
None / Satisfied,Two Year,High,Fiber Optic,Large Family,Elite Loyalty Rewards,85.0,Reward plan for long-term happy customers: referral bonuses + upgrades.
None / Satisfied,Two Year,High,Fiber Optic,Small Family,Elite Loyalty Rewards,85.0,Reward plan for long-term happy customers: referral bonuses + upgrades.
None / Satisfied,Two Year,Medium,Fiber Optic,Small Family,Loyalty Plus,58.0,2-year loyalty lock-in with modest bill credit for renewing.
None / Satisfied,One Year,Medium,Fiber Optic,Single,Loyalty Plus,58.0,2-year loyalty lock-in with modest bill credit for renewing.
Moved / Relocation,Month-to-Month,Medium,Fiber Optic,Small Family,Flexi-Move Plan,50.0,No-penalty relocation transfer with fiber availability guarantee.
Moved / Relocation,Month-to-Month,Medium,Fiber Optic,Single,Flexi-Move Plan,50.0,No-penalty relocation transfer with fiber availability guarantee.
