Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Churn_Label,Tenure_Bucket,Total_Addon_Services,Avg_Monthly_Revenue,Extra_Charges_Total,Extra_Charge_Ratio,Refund_Ratio,Is_Long_Term_Contract,Has_Value_Deal,Is_High_Spender,Has_Referrals,Is_Senior,Customer_Category
11925-MAH,Female,78,Yes,Maharashtra,12,12,No Deal,Yes,Yes,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,,,0,7-12mo,0,239.8166666666667,1571.5,0.5460768642713183,0.0,1,0,0,1,1,Medium-Risk
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1,13-24mo,4,89.09400000000001,566.28,0.31779917839585153,0.0,0,0,1,1,0,High-Risk
86818-MAH,Female,29,Yes,Maharashtra,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,,,0,13-24mo,2,120.58545454545455,802.93,0.3026635204004704,0.0,0,1,0,1,0,Medium-Risk
57256-BIH,Female,18,No,Bihar,9,7,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,,,0,7-12mo,0,9.508571428571429,9.36,0.140625,0.0,0,0,0,1,0,Medium-Risk
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,1,13-24mo,0,5.252916666666667,49.72,0.39438407234076306,0.0,0,1,0,1,0,High-Risk
13829-PUN,Female,34,Yes,Punjab,12,26,No Deal,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,1,25-48mo,2,1.1730769230769231,0.0,0.0,0.0,0,0,0,1,0,High-Risk
19279-UTT,Female,35,No,Uttar Pradesh,14,18,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,,,0,13-24mo,6,422.44166666666666,1947.2,0.25607743343919936,0.0,1,0,1,1,0,Premium-Ready
27129-TAM,Male,44,Yes,Tamil Nadu,0,23,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,,,0,13-24mo,0,93.66956521739131,1063.8,0.4937801708132194,0.0,1,0,0,0,0,Medium-Risk
81327-JHA,Female,69,Yes,Jharkhand,6,3,Deal 3,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,,,0,0-6mo,0,476.93333333333334,980.2,0.6850712887894884,0.014851831143416271,1,1,0,1,1,Medium-Risk
42012-UTT,Female,49,No,Uttar Pradesh,8,2,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,,,0,0-6mo,0,2022.905,2648.91,0.654729213680326,0.0,1,0,0,1,0,Premium-Ready
79321-MAH,Female,22,Yes,Maharashtra,4,8,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,,,0,7-12mo,4,604.865,1591.37,0.3288688385011531,0.0,1,1,1,1,0,Premium-Ready
82811-HAR,Female,46,Yes,Haryana,2,18,Deal 2,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,,,0,13-24mo,0,185.01777777777778,2429.42,0.7294854548511854,0.0,1,1,0,1,0,Medium-Risk
36568-HAR,Male,26,Yes,Haryana,7,8,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,70.4,7942.15,0.0,0,2888.82,10830.97,Stayed,,,0,7-12mo,8,1353.87125,2888.82,0.266718493357474,0.0,1,0,0,1,0,Premium-Ready
62683-UTT,Female,30,No,Uttar Pradesh,12,20,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,,,0,13-24mo,0,143.0955,1549.04,0.5412609061780419,0.010667700940979977,1,0,0,1,0,Medium-Risk
18223-MAD,Male,32,No,Madhya Pradesh,14,2,No Deal,No,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,,,0,0-6mo,4,412.7,0.0,0.0,0.0,1,0,0,1,0,Loyal
41111-MAH,Female,32,No,Maharashtra,10,8,No Deal,Yes,Yes,No,No Internet,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,,,0,7-12mo,0,298.45875,1317.52,0.5518015471149698,0.0,1,0,0,1,0,Medium-Risk
74542-MAH,Female,41,No,Maharashtra,15,16,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,,,0,13-24mo,3,327.4375,279.4,0.05333078831838137,0.0,0,1,1,1,0,Loyal
18842-HAR,Male,56,Yes,Haryana,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,,,0,25-48mo,4,218.822,967.01,0.14730542023501597,0.0,0,1,1,1,0,Loyal
12210-DEL,Female,52,No,Delhi,0,31,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,,,0,25-48mo,0,14.70516129032258,231.36,0.5075242398982144,0.0,1,0,0,0,0,Loyal
76566-UTT,Male,61,No,Uttar Pradesh,1,20,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,,,0,13-24mo,1,130.551,682.02,0.2612082634372774,0.0,0,1,0,1,1,Medium-Risk
73036-JAM,Female,66,Yes,Jammu & Kashmir,10,21,No Deal,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,1,13-24mo,2,8.527619047619048,87.98,0.49128880947062764,0.0,0,0,0,1,1,High-Risk
42964-MAH,Female,25,Yes,Maharashtra,3,25,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,,,0,25-48mo,7,135.9808,1320.57,0.3884577822751447,0.0,1,1,0,1,0,Loyal
18220-JHA,Male,35,No,Jharkhand,12,19,No Deal,Yes,Yes,No,No Internet,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,,,0,13-24mo,0,62.02263157894737,592.25,0.5025754605704199,0.037694220276130105,1,0,0,1,0,Medium-Risk
47645-PUN,Male,51,Yes,Punjab,15,14,No Deal,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,,,0,13-24mo,4,123.38214285714285,161.25,0.09335108692505863,0.02599357397169074,1,0,0,1,0,Loyal
82015-UTT,Female,52,No,Uttar Pradesh,7,23,No Deal,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,,,0,13-24mo,5,53.48652173913044,0.0,0.0,0.009965940220616327,0,0,0,1,0,Loyal
15644-ASS,Female,22,No,Assam,6,3,No Deal,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,,,0,0-6mo,7,2882.0400000000004,2329.92,0.2694757879835117,0.0,1,0,0,1,0,Premium-Ready
24801-WES,Female,61,Yes,West Bengal,12,28,No Deal,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,,,0,25-48mo,2,38.01464285714286,336.56,0.31619394782085847,0.0,1,0,0,1,1,Loyal
85794-JHA,Female,36,No,Jharkhand,5,4,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,,,0,0-6mo,6,1201.675,1274.7,0.2651923356980881,0.0,1,1,1,1,0,Premium-Ready
72357-MAD,Female,53,No,Madhya Pradesh,14,12,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,,,0,7-12mo,1,7.270833333333333,42.95,0.4922636103151863,0.0,0,1,0,1,0,Medium-Risk
28648-DEL,Male,54,Yes,Delhi,3,14,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,,,0,13-24mo,4,191.93214285714288,79.45,0.029567741575333543,0.0,0,0,1,1,0,Loyal
85682-UTT,Female,26,No,Uttarakhand,3,20,No Deal,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,,,0,13-24mo,5,297.9455,391.36,0.06567644082558724,0.0,1,0,0,1,0,Premium-Ready
93096-AND,Male,31,Yes,Andhra Pradesh,9,14,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,,,0,13-24mo,5,337.0157142857143,950.82,0.20152091254752852,0.0,0,0,1,1,0,Loyal
49974-RAJ,Female,73,No,Rajasthan,4,29,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,,,0,25-48mo,3,187.55862068965516,1765.6,0.32460655978820413,0.0,1,0,1,1,1,Premium-Ready
36405-CHH,Male,47,No,Chhattisgarh,9,26,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,1,25-48mo,6,213.24807692307692,1507.6,0.27191155119083044,0.0,0,0,1,1,0,High-Risk
22439-RAJ,Female,73,Yes,Rajasthan,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,1,0-6mo,3,1367.79,247.49,0.18094151880040066,0.0,0,1,1,1,1,High-Risk
33514-UTT,Female,28,Yes,Uttar Pradesh,2,3,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,,,0,0-6mo,1,190.17,255.96,0.4486512068149551,0.0,0,1,0,1,0,Medium-Risk
21555-JHA,Female,54,No,Jharkhand,15,34,No Deal,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,,,0,25-48mo,4,57.872058823529414,79.2,0.040251060910222854,0.0,0,0,0,1,0,Loyal
46640-PUN,Male,31,Yes,Punjab,8,31,No Deal,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,,,0,25-48mo,0,35.08451612903225,557.82,0.5128813372317539,0.0,0,0,0,1,0,Medium-Risk
23376-TAM,Female,68,No,Tamil Nadu,3,16,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,,,0,13-24mo,5,629.19625,2764.3,0.2745864267309286,0.0006069251048460636,1,0,1,1,1,Premium-Ready
98423-JAM,Male,65,No,Jammu & Kashmir,5,2,No Deal,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,,,0,0-6mo,2,1966.89,1065.46,0.2708489035990828,0.0026005521406891083,1,0,0,1,1,Premium-Ready
34135-MAH,Female,21,No,Maharashtra,9,6,No Deal,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,,,0,0-6mo,5,270.57666666666665,411.36,0.25338474615943724,0.0,0,0,0,1,0,Medium-Risk
89530-KAR,Female,58,Yes,Karnataka,15,33,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,Stayed,,,0,25-48mo,8,328.5069696969697,2657.88,0.24517537103128667,0.0,1,1,1,1,0,Premium-Ready
69173-TAM,Male,27,No,Tamil Nadu,9,27,Deal 5,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,1,25-48mo,0,1.9118518518518517,31.77,0.6154591243703991,0.0,0,1,0,1,0,High-Risk
22286-HAR,Female,54,Yes,Haryana,6,36,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,1,25-48mo,5,3.901666666666667,40.71,0.2898334045279795,0.0,0,0,1,1,0,High-Risk
66581-UTT,Female,73,Yes,Uttar Pradesh,8,32,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,,,0,25-48mo,5,121.2803125,1019.52,0.2626972122948644,0.0,1,1,1,1,1,Premium-Ready
22573-TAM,Male,46,No,Tamil Nadu,9,35,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,Stayed,,,0,25-48mo,3,63.473142857142854,779.36,0.35081654332991236,0.0,0,1,1,1,0,Loyal
25964-HAR,Male,66,Yes,Haryana,10,1,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,1,0-6mo,7,5997.3,1937.95,0.323137078351925,0.0,1,1,0,1,1,High-Risk
92186-PUN,Female,42,No,Punjab,13,12,Deal 1,No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,Stayed,,,0,7-12mo,7,345.4916666666666,0.0,0.0,0.0,1,1,0,1,0,Premium-Ready
39892-ODI,Male,41,Yes,Odisha,3,31,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,Stayed,,,0,25-48mo,6,170.4925806451613,1639.77,0.3102528347653005,0.0,0,0,1,1,0,Loyal
71292-MAH,Female,18,No,Maharashtra,1,1,Deal 4,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,Stayed,,,0,0-6mo,0,683.75,496.0,0.7254113345521024,0.0,0,1,0,1,0,Medium-Risk
31698-PUN,Female,20,Yes,Punjab,15,1,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,1,0-6mo,6,3198.56,881.46,0.2755802611175029,0.0,0,0,1,1,0,High-Risk
76182-UTT,Male,47,No,Uttar Pradesh,7,10,No Deal,No,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data,1,7-12mo,4,144.88,0.0,0.0,0.0,0,0,0,1,0,High-Risk
73588-KER,Female,72,No,Kerala,14,29,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0.0,0,877.24,3070.89,Stayed,,,0,25-48mo,3,105.89275862068965,877.24,0.2856631139506788,0.0,0,0,0,1,1,Loyal
59410-MAH,Male,50,No,Maharashtra,5,17,Deal 2,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0,0.0,1748.9,Stayed,,,0,13-24mo,3,102.87647058823529,0.0,0.0,0.0,1,1,0,1,0,Loyal
69444-JAM,Female,31,Yes,Jammu & Kashmir,5,10,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer,1,7-12mo,2,69.856,200.34,0.28678996793403577,0.01865265689418232,0,0,0,1,0,High-Risk
66365-UTT,Female,59,Yes,Uttar Pradesh,9,5,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0,2878.59,8405.34,Stayed,,,0,0-6mo,8,1681.068,2878.59,0.34247157164374076,0.0,1,1,0,1,0,Premium-Ready
